cutoff,split,gate,state,first_anchor,last_anchor,first_date,last_date,length,left_censored,right_censored
2014-12-31,training,relative_volatility,elevated,120,135,2010-07-05,2010-07-26,16,True,False
2014-12-31,training,relative_volatility,subdued,136,205,2010-07-27,2010-11-11,70,False,False
2014-12-31,training,relative_volatility,elevated,206,225,2010-11-12,2010-12-09,20,False,False
2014-12-31,training,relative_volatility,subdued,226,226,2010-12-10,2010-12-10,1,False,False
2014-12-31,training,relative_volatility,elevated,227,227,2010-12-13,2010-12-13,1,False,False
2014-12-31,training,relative_volatility,subdued,228,253,2010-12-14,2011-01-19,26,False,False
2014-12-31,training,relative_volatility,elevated,254,261,2011-01-20,2011-01-31,8,False,False
2014-12-31,training,relative_volatility,subdued,262,263,2011-02-01,2011-02-09,2,False,False
2014-12-31,training,relative_volatility,elevated,264,270,2011-02-10,2011-02-18,7,False,False
2014-12-31,training,relative_volatility,subdued,271,271,2011-02-21,2011-02-21,1,False,False
2014-12-31,training,relative_volatility,elevated,272,272,2011-02-22,2011-02-22,1,False,False
2014-12-31,training,relative_volatility,subdued,273,376,2011-02-23,2011-07-22,104,False,False
2014-12-31,training,relative_volatility,elevated,377,379,2011-07-25,2011-07-27,3,False,False
2014-12-31,training,relative_volatility,subdued,380,386,2011-07-28,2011-08-05,7,False,False
2014-12-31,training,relative_volatility,elevated,387,451,2011-08-08,2011-11-14,65,False,False
2014-12-31,training,relative_volatility,subdued,452,452,2011-11-15,2011-11-15,1,False,False
2014-12-31,training,relative_volatility,elevated,453,453,2011-11-16,2011-11-16,1,False,False
2014-12-31,training,relative_volatility,subdued,454,454,2011-11-17,2011-11-17,1,False,False
2014-12-31,training,relative_volatility,elevated,455,455,2011-11-18,2011-11-18,1,False,False
2014-12-31,training,relative_volatility,subdued,456,463,2011-11-21,2011-11-30,8,False,False
2014-12-31,training,relative_volatility,elevated,464,470,2011-12-01,2011-12-09,7,False,False
2014-12-31,training,relative_volatility,subdued,471,489,2011-12-12,2012-01-09,19,False,False
2014-12-31,training,relative_volatility,elevated,490,514,2012-01-10,2012-02-20,25,False,False
2014-12-31,training,relative_volatility,subdued,515,651,2012-02-21,2012-09-06,137,False,False
2014-12-31,training,relative_volatility,elevated,652,680,2012-09-07,2012-10-24,29,False,False
2014-12-31,training,relative_volatility,subdued,681,681,2012-10-25,2012-10-25,1,False,False
2014-12-31,training,relative_volatility,elevated,682,685,2012-10-26,2012-10-31,4,False,False
2014-12-31,training,relative_volatility,subdued,686,709,2012-11-01,2012-12-04,24,False,False
2014-12-31,training,relative_volatility,elevated,710,736,2012-12-05,2013-01-15,27,False,False
2014-12-31,training,relative_volatility,subdued,737,738,2013-01-16,2013-01-17,2,False,False
2014-12-31,training,relative_volatility,elevated,739,743,2013-01-18,2013-01-24,5,False,False
2014-12-31,training,relative_volatility,subdued,744,744,2013-01-25,2013-01-25,1,False,False
2014-12-31,training,relative_volatility,elevated,745,747,2013-01-28,2013-01-30,3,False,False
2014-12-31,training,relative_volatility,subdued,748,748,2013-01-31,2013-01-31,1,False,False
2014-12-31,training,relative_volatility,elevated,749,753,2013-02-01,2013-02-07,5,False,False
2014-12-31,training,relative_volatility,subdued,754,757,2013-02-08,2013-02-20,4,False,False
2014-12-31,training,relative_volatility,elevated,758,785,2013-02-21,2013-04-01,28,False,False
2014-12-31,training,relative_volatility,subdued,786,836,2013-04-02,2013-06-21,51,False,False
2014-12-31,training,relative_volatility,elevated,837,869,2013-06-24,2013-08-07,33,False,False
2014-12-31,training,relative_volatility,subdued,870,980,2013-08-08,2014-01-21,111,False,False
2014-12-31,training,relative_volatility,elevated,981,982,2014-01-22,2014-01-23,2,False,False
2014-12-31,training,relative_volatility,subdued,983,996,2014-01-24,2014-02-19,14,False,False
2014-12-31,training,relative_volatility,elevated,997,997,2014-02-20,2014-02-20,1,False,False
2014-12-31,training,relative_volatility,subdued,998,998,2014-02-21,2014-02-21,1,False,False
2014-12-31,training,relative_volatility,elevated,999,1028,2014-02-24,2014-04-04,30,False,False
2014-12-31,training,relative_volatility,subdued,1029,1030,2014-04-08,2014-04-09,2,False,False
2014-12-31,training,relative_volatility,elevated,1031,1032,2014-04-10,2014-04-11,2,False,False
2014-12-31,training,relative_volatility,subdued,1033,1033,2014-04-14,2014-04-14,1,False,False
2014-12-31,training,relative_volatility,elevated,1034,1036,2014-04-15,2014-04-17,3,False,False
2014-12-31,training,relative_volatility,subdued,1037,1110,2014-04-18,2014-08-04,74,False,False
2014-12-31,training,relative_volatility,elevated,1111,1111,2014-08-05,2014-08-05,1,False,False
2014-12-31,training,relative_volatility,subdued,1112,1112,2014-08-06,2014-08-06,1,False,False
2014-12-31,training,relative_volatility,elevated,1113,1124,2014-08-07,2014-08-22,12,False,False
2014-12-31,training,relative_volatility,subdued,1125,1143,2014-08-25,2014-09-19,19,False,False
2014-12-31,training,relative_volatility,elevated,1144,1159,2014-09-22,2014-10-20,16,False,False
2014-12-31,training,relative_volatility,subdued,1160,1167,2014-10-21,2014-10-30,8,False,False
2014-12-31,training,relative_volatility,elevated,1168,1170,2014-10-31,2014-11-04,3,False,False
2014-12-31,training,relative_volatility,subdued,1171,1173,2014-11-05,2014-11-07,3,False,False
2014-12-31,training,relative_volatility,elevated,1174,1211,2014-11-10,2014-12-31,38,False,True
2014-12-31,training,persistence,persistent,120,130,2010-07-05,2010-07-19,11,True,False
2014-12-31,training,persistence,choppy,131,177,2010-07-20,2010-09-27,47,False,False
2014-12-31,training,persistence,persistent,178,207,2010-09-28,2010-11-15,30,False,False
2014-12-31,training,persistence,choppy,208,251,2010-11-16,2011-01-17,44,False,False
2014-12-31,training,persistence,persistent,252,252,2011-01-18,2011-01-18,1,False,False
2014-12-31,training,persistence,choppy,253,256,2011-01-19,2011-01-24,4,False,False
2014-12-31,training,persistence,persistent,257,257,2011-01-25,2011-01-25,1,False,False
2014-12-31,training,persistence,choppy,258,340,2011-01-26,2011-06-01,83,False,False
2014-12-31,training,persistence,persistent,341,343,2011-06-02,2011-06-07,3,False,False
2014-12-31,training,persistence,choppy,344,349,2011-06-08,2011-06-15,6,False,False
2014-12-31,training,persistence,persistent,350,355,2011-06-16,2011-06-23,6,False,False
2014-12-31,training,persistence,choppy,356,386,2011-06-24,2011-08-05,31,False,False
2014-12-31,training,persistence,persistent,387,387,2011-08-08,2011-08-08,1,False,False
2014-12-31,training,persistence,choppy,388,415,2011-08-09,2011-09-16,28,False,False
2014-12-31,training,persistence,persistent,416,417,2011-09-19,2011-09-20,2,False,False
2014-12-31,training,persistence,choppy,418,419,2011-09-21,2011-09-22,2,False,False
2014-12-31,training,persistence,persistent,420,436,2011-09-23,2011-10-24,17,False,False
2014-12-31,training,persistence,choppy,437,473,2011-10-25,2011-12-14,37,False,False
2014-12-31,training,persistence,persistent,474,474,2011-12-15,2011-12-15,1,False,False
2014-12-31,training,persistence,choppy,475,477,2011-12-16,2011-12-20,3,False,False
2014-12-31,training,persistence,persistent,478,479,2011-12-21,2011-12-22,2,False,False
2014-12-31,training,persistence,choppy,480,481,2011-12-23,2011-12-26,2,False,False
2014-12-31,training,persistence,persistent,482,482,2011-12-27,2011-12-27,1,False,False
2014-12-31,training,persistence,choppy,483,487,2011-12-28,2012-01-05,5,False,False
2014-12-31,training,persistence,persistent,488,488,2012-01-06,2012-01-06,1,False,False
2014-12-31,training,persistence,choppy,489,617,2012-01-09,2012-07-20,129,False,False
2014-12-31,training,persistence,persistent,618,618,2012-07-23,2012-07-23,1,False,False
2014-12-31,training,persistence,choppy,619,619,2012-07-24,2012-07-24,1,False,False
2014-12-31,training,persistence,persistent,620,627,2012-07-25,2012-08-03,8,False,False
2014-12-31,training,persistence,choppy,628,634,2012-08-06,2012-08-14,7,False,False
2014-12-31,training,persistence,persistent,635,652,2012-08-15,2012-09-07,18,False,False
2014-12-31,training,persistence,choppy,653,653,2012-09-10,2012-09-10,1,False,False
2014-12-31,training,persistence,persistent,654,654,2012-09-11,2012-09-11,1,False,False
2014-12-31,training,persistence,choppy,655,655,2012-09-12,2012-09-12,1,False,False
2014-12-31,training,persistence,persistent,656,656,2012-09-13,2012-09-13,1,False,False
2014-12-31,training,persistence,choppy,657,661,2012-09-14,2012-09-20,5,False,False
2014-12-31,training,persistence,persistent,662,665,2012-09-21,2012-09-26,4,False,False
2014-12-31,training,persistence,choppy,666,724,2012-09-27,2012-12-25,59,False,False
2014-12-31,training,persistence,persistent,725,725,2012-12-26,2012-12-26,1,False,False
2014-12-31,training,persistence,choppy,726,739,2012-12-27,2013-01-18,14,False,False
2014-12-31,training,persistence,persistent,740,771,2013-01-21,2013-03-12,32,False,False
2014-12-31,training,persistence,choppy,772,836,2013-03-13,2013-06-21,65,False,False
2014-12-31,training,persistence,persistent,837,844,2013-06-24,2013-07-03,8,False,False
2014-12-31,training,persistence,choppy,845,846,2013-07-04,2013-07-05,2,False,False
2014-12-31,training,persistence,persistent,847,848,2013-07-08,2013-07-09,2,False,False
2014-12-31,training,persistence,choppy,849,880,2013-07-10,2013-08-22,32,False,False
2014-12-31,training,persistence,persistent,881,881,2013-08-23,2013-08-23,1,False,False
2014-12-31,training,persistence,choppy,882,896,2013-08-26,2013-09-13,15,False,False
2014-12-31,training,persistence,persistent,897,897,2013-09-16,2013-09-16,1,False,False
2014-12-31,training,persistence,choppy,898,899,2013-09-17,2013-09-18,2,False,False
2014-12-31,training,persistence,persistent,900,900,2013-09-23,2013-09-23,1,False,False
2014-12-31,training,persistence,choppy,901,974,2013-09-24,2014-01-13,74,False,False
2014-12-31,training,persistence,persistent,975,976,2014-01-14,2014-01-15,2,False,False
2014-12-31,training,persistence,choppy,977,1001,2014-01-16,2014-02-26,25,False,False
2014-12-31,training,persistence,persistent,1002,1004,2014-02-27,2014-03-03,3,False,False
2014-12-31,training,persistence,choppy,1005,1005,2014-03-04,2014-03-04,1,False,False
2014-12-31,training,persistence,persistent,1006,1014,2014-03-05,2014-03-17,9,False,False
2014-12-31,training,persistence,choppy,1015,1016,2014-03-18,2014-03-19,2,False,False
2014-12-31,training,persistence,persistent,1017,1017,2014-03-20,2014-03-20,1,False,False
2014-12-31,training,persistence,choppy,1018,1104,2014-03-21,2014-07-25,87,False,False
2014-12-31,training,persistence,persistent,1105,1106,2014-07-28,2014-07-29,2,False,False
2014-12-31,training,persistence,choppy,1107,1107,2014-07-30,2014-07-30,1,False,False
2014-12-31,training,persistence,persistent,1108,1112,2014-07-31,2014-08-06,5,False,False
2014-12-31,training,persistence,choppy,1113,1113,2014-08-07,2014-08-07,1,False,False
2014-12-31,training,persistence,persistent,1114,1125,2014-08-08,2014-08-25,12,False,False
2014-12-31,training,persistence,choppy,1126,1126,2014-08-26,2014-08-26,1,False,False
2014-12-31,training,persistence,persistent,1127,1127,2014-08-27,2014-08-27,1,False,False
2014-12-31,training,persistence,choppy,1128,1128,2014-08-28,2014-08-28,1,False,False
2014-12-31,training,persistence,persistent,1129,1161,2014-08-29,2014-10-22,33,False,False
2014-12-31,training,persistence,choppy,1162,1173,2014-10-23,2014-11-07,12,False,False
2014-12-31,training,persistence,persistent,1174,1174,2014-11-10,2014-11-10,1,False,False
2014-12-31,training,persistence,choppy,1175,1175,2014-11-11,2014-11-11,1,False,False
2014-12-31,training,persistence,persistent,1176,1179,2014-11-12,2014-11-17,4,False,False
2014-12-31,training,persistence,choppy,1180,1182,2014-11-18,2014-11-20,3,False,False
2014-12-31,training,persistence,persistent,1183,1211,2014-11-21,2014-12-31,29,False,True
2015-12-31,training,relative_volatility,elevated,120,135,2010-07-05,2010-07-26,16,True,False
2015-12-31,training,relative_volatility,subdued,136,205,2010-07-27,2010-11-11,70,False,False
2015-12-31,training,relative_volatility,elevated,206,225,2010-11-12,2010-12-09,20,False,False
2015-12-31,training,relative_volatility,subdued,226,226,2010-12-10,2010-12-10,1,False,False
2015-12-31,training,relative_volatility,elevated,227,227,2010-12-13,2010-12-13,1,False,False
2015-12-31,training,relative_volatility,subdued,228,253,2010-12-14,2011-01-19,26,False,False
2015-12-31,training,relative_volatility,elevated,254,261,2011-01-20,2011-01-31,8,False,False
2015-12-31,training,relative_volatility,subdued,262,263,2011-02-01,2011-02-09,2,False,False
2015-12-31,training,relative_volatility,elevated,264,270,2011-02-10,2011-02-18,7,False,False
2015-12-31,training,relative_volatility,subdued,271,271,2011-02-21,2011-02-21,1,False,False
2015-12-31,training,relative_volatility,elevated,272,272,2011-02-22,2011-02-22,1,False,False
2015-12-31,training,relative_volatility,subdued,273,376,2011-02-23,2011-07-22,104,False,False
2015-12-31,training,relative_volatility,elevated,377,379,2011-07-25,2011-07-27,3,False,False
2015-12-31,training,relative_volatility,subdued,380,386,2011-07-28,2011-08-05,7,False,False
2015-12-31,training,relative_volatility,elevated,387,451,2011-08-08,2011-11-14,65,False,False
2015-12-31,training,relative_volatility,subdued,452,452,2011-11-15,2011-11-15,1,False,False
2015-12-31,training,relative_volatility,elevated,453,453,2011-11-16,2011-11-16,1,False,False
2015-12-31,training,relative_volatility,subdued,454,454,2011-11-17,2011-11-17,1,False,False
2015-12-31,training,relative_volatility,elevated,455,455,2011-11-18,2011-11-18,1,False,False
2015-12-31,training,relative_volatility,subdued,456,463,2011-11-21,2011-11-30,8,False,False
2015-12-31,training,relative_volatility,elevated,464,470,2011-12-01,2011-12-09,7,False,False
2015-12-31,training,relative_volatility,subdued,471,489,2011-12-12,2012-01-09,19,False,False
2015-12-31,training,relative_volatility,elevated,490,514,2012-01-10,2012-02-20,25,False,False
2015-12-31,training,relative_volatility,subdued,515,651,2012-02-21,2012-09-06,137,False,False
2015-12-31,training,relative_volatility,elevated,652,680,2012-09-07,2012-10-24,29,False,False
2015-12-31,training,relative_volatility,subdued,681,681,2012-10-25,2012-10-25,1,False,False
2015-12-31,training,relative_volatility,elevated,682,685,2012-10-26,2012-10-31,4,False,False
2015-12-31,training,relative_volatility,subdued,686,709,2012-11-01,2012-12-04,24,False,False
2015-12-31,training,relative_volatility,elevated,710,736,2012-12-05,2013-01-15,27,False,False
2015-12-31,training,relative_volatility,subdued,737,738,2013-01-16,2013-01-17,2,False,False
2015-12-31,training,relative_volatility,elevated,739,743,2013-01-18,2013-01-24,5,False,False
2015-12-31,training,relative_volatility,subdued,744,744,2013-01-25,2013-01-25,1,False,False
2015-12-31,training,relative_volatility,elevated,745,747,2013-01-28,2013-01-30,3,False,False
2015-12-31,training,relative_volatility,subdued,748,748,2013-01-31,2013-01-31,1,False,False
2015-12-31,training,relative_volatility,elevated,749,753,2013-02-01,2013-02-07,5,False,False
2015-12-31,training,relative_volatility,subdued,754,757,2013-02-08,2013-02-20,4,False,False
2015-12-31,training,relative_volatility,elevated,758,785,2013-02-21,2013-04-01,28,False,False
2015-12-31,training,relative_volatility,subdued,786,836,2013-04-02,2013-06-21,51,False,False
2015-12-31,training,relative_volatility,elevated,837,869,2013-06-24,2013-08-07,33,False,False
2015-12-31,training,relative_volatility,subdued,870,980,2013-08-08,2014-01-21,111,False,False
2015-12-31,training,relative_volatility,elevated,981,982,2014-01-22,2014-01-23,2,False,False
2015-12-31,training,relative_volatility,subdued,983,996,2014-01-24,2014-02-19,14,False,False
2015-12-31,training,relative_volatility,elevated,997,997,2014-02-20,2014-02-20,1,False,False
2015-12-31,training,relative_volatility,subdued,998,998,2014-02-21,2014-02-21,1,False,False
2015-12-31,training,relative_volatility,elevated,999,1028,2014-02-24,2014-04-04,30,False,False
2015-12-31,training,relative_volatility,subdued,1029,1030,2014-04-08,2014-04-09,2,False,False
2015-12-31,training,relative_volatility,elevated,1031,1032,2014-04-10,2014-04-11,2,False,False
2015-12-31,training,relative_volatility,subdued,1033,1033,2014-04-14,2014-04-14,1,False,False
2015-12-31,training,relative_volatility,elevated,1034,1036,2014-04-15,2014-04-17,3,False,False
2015-12-31,training,relative_volatility,subdued,1037,1110,2014-04-18,2014-08-04,74,False,False
2015-12-31,training,relative_volatility,elevated,1111,1111,2014-08-05,2014-08-05,1,False,False
2015-12-31,training,relative_volatility,subdued,1112,1112,2014-08-06,2014-08-06,1,False,False
2015-12-31,training,relative_volatility,elevated,1113,1124,2014-08-07,2014-08-22,12,False,False
2015-12-31,training,relative_volatility,subdued,1125,1143,2014-08-25,2014-09-19,19,False,False
2015-12-31,training,relative_volatility,elevated,1144,1159,2014-09-22,2014-10-20,16,False,False
2015-12-31,training,relative_volatility,subdued,1160,1167,2014-10-21,2014-10-30,8,False,False
2015-12-31,training,relative_volatility,elevated,1168,1170,2014-10-31,2014-11-04,3,False,False
2015-12-31,training,relative_volatility,subdued,1171,1173,2014-11-05,2014-11-07,3,False,False
2015-12-31,training,relative_volatility,elevated,1174,1241,2014-11-10,2015-02-13,68,False,False
2015-12-31,training,relative_volatility,subdued,1242,1265,2015-02-16,2015-03-26,24,False,True
2015-12-31,training,relative_volatility,elevated,1387,1388,2015-09-21,2015-09-22,2,True,False
2015-12-31,training,relative_volatility,subdued,1389,1455,2015-09-23,2015-12-31,67,False,True
2015-12-31,training,persistence,persistent,120,130,2010-07-05,2010-07-19,11,True,False
2015-12-31,training,persistence,choppy,131,177,2010-07-20,2010-09-27,47,False,False
2015-12-31,training,persistence,persistent,178,207,2010-09-28,2010-11-15,30,False,False
2015-12-31,training,persistence,choppy,208,251,2010-11-16,2011-01-17,44,False,False
2015-12-31,training,persistence,persistent,252,252,2011-01-18,2011-01-18,1,False,False
2015-12-31,training,persistence,choppy,253,256,2011-01-19,2011-01-24,4,False,False
2015-12-31,training,persistence,persistent,257,257,2011-01-25,2011-01-25,1,False,False
2015-12-31,training,persistence,choppy,258,340,2011-01-26,2011-06-01,83,False,False
2015-12-31,training,persistence,persistent,341,343,2011-06-02,2011-06-07,3,False,False
2015-12-31,training,persistence,choppy,344,349,2011-06-08,2011-06-15,6,False,False
2015-12-31,training,persistence,persistent,350,355,2011-06-16,2011-06-23,6,False,False
2015-12-31,training,persistence,choppy,356,386,2011-06-24,2011-08-05,31,False,False
2015-12-31,training,persistence,persistent,387,387,2011-08-08,2011-08-08,1,False,False
2015-12-31,training,persistence,choppy,388,415,2011-08-09,2011-09-16,28,False,False
2015-12-31,training,persistence,persistent,416,417,2011-09-19,2011-09-20,2,False,False
2015-12-31,training,persistence,choppy,418,419,2011-09-21,2011-09-22,2,False,False
2015-12-31,training,persistence,persistent,420,436,2011-09-23,2011-10-24,17,False,False
2015-12-31,training,persistence,choppy,437,473,2011-10-25,2011-12-14,37,False,False
2015-12-31,training,persistence,persistent,474,474,2011-12-15,2011-12-15,1,False,False
2015-12-31,training,persistence,choppy,475,477,2011-12-16,2011-12-20,3,False,False
2015-12-31,training,persistence,persistent,478,479,2011-12-21,2011-12-22,2,False,False
2015-12-31,training,persistence,choppy,480,481,2011-12-23,2011-12-26,2,False,False
2015-12-31,training,persistence,persistent,482,482,2011-12-27,2011-12-27,1,False,False
2015-12-31,training,persistence,choppy,483,487,2011-12-28,2012-01-05,5,False,False
2015-12-31,training,persistence,persistent,488,488,2012-01-06,2012-01-06,1,False,False
2015-12-31,training,persistence,choppy,489,617,2012-01-09,2012-07-20,129,False,False
2015-12-31,training,persistence,persistent,618,618,2012-07-23,2012-07-23,1,False,False
2015-12-31,training,persistence,choppy,619,619,2012-07-24,2012-07-24,1,False,False
2015-12-31,training,persistence,persistent,620,627,2012-07-25,2012-08-03,8,False,False
2015-12-31,training,persistence,choppy,628,634,2012-08-06,2012-08-14,7,False,False
2015-12-31,training,persistence,persistent,635,652,2012-08-15,2012-09-07,18,False,False
2015-12-31,training,persistence,choppy,653,653,2012-09-10,2012-09-10,1,False,False
2015-12-31,training,persistence,persistent,654,654,2012-09-11,2012-09-11,1,False,False
2015-12-31,training,persistence,choppy,655,655,2012-09-12,2012-09-12,1,False,False
2015-12-31,training,persistence,persistent,656,656,2012-09-13,2012-09-13,1,False,False
2015-12-31,training,persistence,choppy,657,661,2012-09-14,2012-09-20,5,False,False
2015-12-31,training,persistence,persistent,662,665,2012-09-21,2012-09-26,4,False,False
2015-12-31,training,persistence,choppy,666,724,2012-09-27,2012-12-25,59,False,False
2015-12-31,training,persistence,persistent,725,725,2012-12-26,2012-12-26,1,False,False
2015-12-31,training,persistence,choppy,726,739,2012-12-27,2013-01-18,14,False,False
2015-12-31,training,persistence,persistent,740,771,2013-01-21,2013-03-12,32,False,False
2015-12-31,training,persistence,choppy,772,836,2013-03-13,2013-06-21,65,False,False
2015-12-31,training,persistence,persistent,837,844,2013-06-24,2013-07-03,8,False,False
2015-12-31,training,persistence,choppy,845,846,2013-07-04,2013-07-05,2,False,False
2015-12-31,training,persistence,persistent,847,848,2013-07-08,2013-07-09,2,False,False
2015-12-31,training,persistence,choppy,849,880,2013-07-10,2013-08-22,32,False,False
2015-12-31,training,persistence,persistent,881,881,2013-08-23,2013-08-23,1,False,False
2015-12-31,training,persistence,choppy,882,896,2013-08-26,2013-09-13,15,False,False
2015-12-31,training,persistence,persistent,897,897,2013-09-16,2013-09-16,1,False,False
2015-12-31,training,persistence,choppy,898,899,2013-09-17,2013-09-18,2,False,False
2015-12-31,training,persistence,persistent,900,900,2013-09-23,2013-09-23,1,False,False
2015-12-31,training,persistence,choppy,901,974,2013-09-24,2014-01-13,74,False,False
2015-12-31,training,persistence,persistent,975,976,2014-01-14,2014-01-15,2,False,False
2015-12-31,training,persistence,choppy,977,1001,2014-01-16,2014-02-26,25,False,False
2015-12-31,training,persistence,persistent,1002,1004,2014-02-27,2014-03-03,3,False,False
2015-12-31,training,persistence,choppy,1005,1005,2014-03-04,2014-03-04,1,False,False
2015-12-31,training,persistence,persistent,1006,1014,2014-03-05,2014-03-17,9,False,False
2015-12-31,training,persistence,choppy,1015,1016,2014-03-18,2014-03-19,2,False,False
2015-12-31,training,persistence,persistent,1017,1017,2014-03-20,2014-03-20,1,False,False
2015-12-31,training,persistence,choppy,1018,1104,2014-03-21,2014-07-25,87,False,False
2015-12-31,training,persistence,persistent,1105,1106,2014-07-28,2014-07-29,2,False,False
2015-12-31,training,persistence,choppy,1107,1107,2014-07-30,2014-07-30,1,False,False
2015-12-31,training,persistence,persistent,1108,1112,2014-07-31,2014-08-06,5,False,False
2015-12-31,training,persistence,choppy,1113,1113,2014-08-07,2014-08-07,1,False,False
2015-12-31,training,persistence,persistent,1114,1125,2014-08-08,2014-08-25,12,False,False
2015-12-31,training,persistence,choppy,1126,1126,2014-08-26,2014-08-26,1,False,False
2015-12-31,training,persistence,persistent,1127,1127,2014-08-27,2014-08-27,1,False,False
2015-12-31,training,persistence,choppy,1128,1128,2014-08-28,2014-08-28,1,False,False
2015-12-31,training,persistence,persistent,1129,1161,2014-08-29,2014-10-22,33,False,False
2015-12-31,training,persistence,choppy,1162,1173,2014-10-23,2014-11-07,12,False,False
2015-12-31,training,persistence,persistent,1174,1174,2014-11-10,2014-11-10,1,False,False
2015-12-31,training,persistence,choppy,1175,1175,2014-11-11,2014-11-11,1,False,False
2015-12-31,training,persistence,persistent,1176,1179,2014-11-12,2014-11-17,4,False,False
2015-12-31,training,persistence,choppy,1180,1182,2014-11-18,2014-11-20,3,False,False
2015-12-31,training,persistence,persistent,1183,1249,2014-11-21,2015-03-04,67,False,False
2015-12-31,training,persistence,choppy,1250,1258,2015-03-05,2015-03-17,9,False,False
2015-12-31,training,persistence,persistent,1259,1259,2015-03-18,2015-03-18,1,False,False
2015-12-31,training,persistence,choppy,1260,1261,2015-03-19,2015-03-20,2,False,False
2015-12-31,training,persistence,persistent,1262,1262,2015-03-23,2015-03-23,1,False,False
2015-12-31,training,persistence,choppy,1263,1264,2015-03-24,2015-03-25,2,False,False
2015-12-31,training,persistence,persistent,1265,1265,2015-03-26,2015-03-26,1,False,True
2015-12-31,training,persistence,persistent,1387,1387,2015-09-21,2015-09-21,1,True,False
2015-12-31,training,persistence,choppy,1388,1429,2015-09-22,2015-11-25,42,False,False
2015-12-31,training,persistence,persistent,1430,1430,2015-11-26,2015-11-26,1,False,False
2015-12-31,training,persistence,choppy,1431,1442,2015-11-27,2015-12-14,12,False,False
2015-12-31,training,persistence,persistent,1443,1443,2015-12-15,2015-12-15,1,False,False
2015-12-31,training,persistence,choppy,1444,1444,2015-12-16,2015-12-16,1,False,False
2015-12-31,training,persistence,persistent,1445,1445,2015-12-17,2015-12-17,1,False,False
2015-12-31,training,persistence,choppy,1446,1446,2015-12-18,2015-12-18,1,False,False
2015-12-31,training,persistence,persistent,1447,1451,2015-12-21,2015-12-25,5,False,False
2015-12-31,training,persistence,choppy,1452,1452,2015-12-28,2015-12-28,1,False,False
2015-12-31,training,persistence,persistent,1453,1454,2015-12-29,2015-12-30,2,False,False
2015-12-31,training,persistence,choppy,1455,1455,2015-12-31,2015-12-31,1,False,True
2016-12-31,training,relative_volatility,elevated,120,135,2010-07-05,2010-07-26,16,True,False
2016-12-31,training,relative_volatility,subdued,136,205,2010-07-27,2010-11-11,70,False,False
2016-12-31,training,relative_volatility,elevated,206,225,2010-11-12,2010-12-09,20,False,False
2016-12-31,training,relative_volatility,subdued,226,226,2010-12-10,2010-12-10,1,False,False
2016-12-31,training,relative_volatility,elevated,227,227,2010-12-13,2010-12-13,1,False,False
2016-12-31,training,relative_volatility,subdued,228,253,2010-12-14,2011-01-19,26,False,False
2016-12-31,training,relative_volatility,elevated,254,261,2011-01-20,2011-01-31,8,False,False
2016-12-31,training,relative_volatility,subdued,262,263,2011-02-01,2011-02-09,2,False,False
2016-12-31,training,relative_volatility,elevated,264,270,2011-02-10,2011-02-18,7,False,False
2016-12-31,training,relative_volatility,subdued,271,271,2011-02-21,2011-02-21,1,False,False
2016-12-31,training,relative_volatility,elevated,272,272,2011-02-22,2011-02-22,1,False,False
2016-12-31,training,relative_volatility,subdued,273,376,2011-02-23,2011-07-22,104,False,False
2016-12-31,training,relative_volatility,elevated,377,379,2011-07-25,2011-07-27,3,False,False
2016-12-31,training,relative_volatility,subdued,380,386,2011-07-28,2011-08-05,7,False,False
2016-12-31,training,relative_volatility,elevated,387,451,2011-08-08,2011-11-14,65,False,False
2016-12-31,training,relative_volatility,subdued,452,452,2011-11-15,2011-11-15,1,False,False
2016-12-31,training,relative_volatility,elevated,453,453,2011-11-16,2011-11-16,1,False,False
2016-12-31,training,relative_volatility,subdued,454,454,2011-11-17,2011-11-17,1,False,False
2016-12-31,training,relative_volatility,elevated,455,455,2011-11-18,2011-11-18,1,False,False
2016-12-31,training,relative_volatility,subdued,456,463,2011-11-21,2011-11-30,8,False,False
2016-12-31,training,relative_volatility,elevated,464,470,2011-12-01,2011-12-09,7,False,False
2016-12-31,training,relative_volatility,subdued,471,489,2011-12-12,2012-01-09,19,False,False
2016-12-31,training,relative_volatility,elevated,490,514,2012-01-10,2012-02-20,25,False,False
2016-12-31,training,relative_volatility,subdued,515,651,2012-02-21,2012-09-06,137,False,False
2016-12-31,training,relative_volatility,elevated,652,680,2012-09-07,2012-10-24,29,False,False
2016-12-31,training,relative_volatility,subdued,681,681,2012-10-25,2012-10-25,1,False,False
2016-12-31,training,relative_volatility,elevated,682,685,2012-10-26,2012-10-31,4,False,False
2016-12-31,training,relative_volatility,subdued,686,709,2012-11-01,2012-12-04,24,False,False
2016-12-31,training,relative_volatility,elevated,710,736,2012-12-05,2013-01-15,27,False,False
2016-12-31,training,relative_volatility,subdued,737,738,2013-01-16,2013-01-17,2,False,False
2016-12-31,training,relative_volatility,elevated,739,743,2013-01-18,2013-01-24,5,False,False
2016-12-31,training,relative_volatility,subdued,744,744,2013-01-25,2013-01-25,1,False,False
2016-12-31,training,relative_volatility,elevated,745,747,2013-01-28,2013-01-30,3,False,False
2016-12-31,training,relative_volatility,subdued,748,748,2013-01-31,2013-01-31,1,False,False
2016-12-31,training,relative_volatility,elevated,749,753,2013-02-01,2013-02-07,5,False,False
